"ticket_id","ticket_trace/contact"
242677,"178906-242677, 0"
184994,"13921-184994, 2"
44732,"44732, 0"
239609,"239609, 1"
226390,"226390, 4"
373795,"78497-373795, 0"
498141,"75228-498141, 4"
302588,"193750-302588, 1"
419490,"21092-331625-419490, 0"
8694,"8694, 1"
219430,"219430, 3"
444043,"444043, 4"
372337,"372337, 0"
92356,"92356, 0"
19158,"19158, 0"
261237,"261237, 4"
151799,"151799, 2"
277648,"5387-49878-237353-245704-277648, 1"
480435,"217893-255008-480435, 0"
479618,"479618, 2"
437332,"437332, 4"
87223,"38062-87223, 2"
250070,"83650-250070, 0"
436758,"436758, 0"
379958,"379958, 0"
261205,"20646-38058-261205, 4"
242776,"242776, 2"
30372,"59266-30372, 2"
287088,"287088, 1"
408723,"31206-146824-153094-364242-408723, 4"
295363,"295363, 4"
187903,"187903, 4"
40189,"40189, 3"
314011,"193726-314011, 1"
410835,"410835, 4"
427722,"427722, 2"
60766,"60766, 3"
51845,"51845, 4"
222826,"137819-215106-222826, 2"
34233,"34233, 0"
458602,"458602, 0"
478387,"164892-478387, 0"
311250,"126849-311250, 0"
304837,"304837, 2"
470659,"470659, 0"
19766,"19766, 1"
484461,"255513-392063-484461, 2"
395308,"395308, 0"
10039,"10039, 3"
352790,"352790, 2"
437741,"39678-437741, 4"
414830,"414830, 1"
261093,"261093, 1"
489395,"489395, 1"
176430,"176430, 4"
189625,"6894-189625, 3"
498423,"128007-289237-498423, 4"
241650,"241650, 3"
343180,"108566-343180, 0"
76694,"76694, 2"
273058,"273058, 0"
39037,"118450-39037, 1"
100639,"100639, 3"
81561,"81561, 2"
104190,"104190, 4"
157844,"7274-157844, 1"
30314,"30314, 1"
139132,"22100-139132, 4"
453456,"453456, 1"
139397,"116482-139397, 3"
38284,"1255-38284, 4"
126531,"126531, 4"
481484,"481484, 4"
219270,"205282-219270, 3"
439740,"439740, 2"
422985,"422985, 3"
244409,"244409, 0"
8550,"8550, 4"
444459,"444459, 2"
249994,"249994, 3"
267326,"61937-109486-267326, 0"
429534,"16251-429534, 1"
431788,"32156-431788, 2"
165693,"165693, 0"
411076,"1259-160154-411076, 1"
340564,"340564, 3"
465194,"59940-465194, 1"
429157,"429157, 2"
296970,"257446-296970, 1"
456280,"123018-456280, 1"
114540,"114540, 1"
270949,"270949, 0"
1479,"1479, 3"
482702,"482702, 0"
492764,"100893-353282-492764, 3"
404288,"258019-404288, 1"
12279,"12279, 3"
268233,"138680-268233, 4"
329934,"349543-329934, 0"
13953,"13953, 2"
298014,"64910-268516-298014, 4"
36371,"36371, 1"
33446,"33446, 1"
11481,"11481, 4"
359073,"2890-359073, 3"
114914,"66188-114914, 0"
468707,"468707, 3"
252077,"141996-252077, 1"
492578,"492578, 4"
21667,"296260-5698-21667, 4"
93879,"93879, 0"
469842,"469842, 2"
285906,"285906, 4"
455559,"375182-455559, 3"
262252,"262252, 1"
396869,"396869, 0"
146500,"83513-146500, 4"
3500,"3500, 2"
387554,"78821-387554, 1"
86254,"86254, 3"
215949,"215949, 1"
333854,"333854, 0"
98362,"98362, 2"
210801,"210801, 0"
32623,"32623, 3"
50003,"50003, 2"
441202,"365496-375750-441202, 4"
1940,"1940, 2"
267941,"267941, 0"
1908,"1908, 2"
293196,"293196, 4"
98309,"98309, 2"
176597,"176597, 0"
477254,"11788-477254, 0"
185054,"185054, 1"
356957,"356957, 2"
3717,"3717, 2"
20083,"4515-20083, 1"
163136,"83385-163136, 3"
258061,"245910-258061, 4"
396816,"396816, 2"
494721,"140436-285894-494721, 2"
86345,"86345, 1"
332198,"10721-166270-332198, 2"
20968,"7331-20968, 2"
221507,"221507, 0"
140347,"140347, 3"
225487,"225487, 2"
318724,"318724, 2"
282879,"282879, 3"
51109,"51109, 2"
60590,"60590, 2"
360249,"340537-360249, 1"
479976,"479976, 1"
80325,"80325, 2"
436659,"436659, 2"
478491,"114869-478491, 4"
142590,"142590, 4"
315603,"89232-148785-218664-315603, 0"
242326,"242326, 1"
459989,"116461-459989, 4"
154797,"158930-154797, 2"
462516,"462516, 1"
192754,"192754, 2"
275747,"275747, 3"
295016,"11461-295016, 1"
35578,"174480-35578, 2"
305949,"305949, 2"
494479,"9375-494479, 2"
279076,"27408-279076, 2"
129231,"129231, 2"
359660,"201148-359660, 0"
16188,"16188, 3"
267998,"127346-206651-267998, 1"
114779,"75827-114779, 2"
58553,"58553, 1"
248719,"1687-248719, 4"
492964,"492964, 1"
308187,"308187, 2"
389046,"154734-311918-389046, 1"
14417,"14417, 3"
454887,"8867-454887, 3"
341431,"341431, 1"
226990,"106901-226990, 4"
446783,"200262-286925-446783, 4"
18063,"18063, 4"
189764,"189764, 4"
300280,"30762-147507-300280, 1"
56601,"56601, 3"
322126,"312289-322126, 2"
367026,"41621-367026, 1"
335287,"335287, 1"
266937,"171352-266937, 2"
71897,"71897, 1"
123626,"123626, 1"
421564,"59293-98407-277486-421564, 2"
441304,"12356-441304, 1"
397106,"62050-397106, 0"
382932,"382932, 0"
103600,"307277-94813-103600, 3"
168247,"168247, 4"
374619,"264216-374619, 1"
55475,"55475, 2"
413792,"413792, 1"
208897,"208897, 0"
195193,"195193, 4"
55353,"55353, 2"
368123,"32893-273158-368123, 3"
497566,"34384-76833-497566, 1"
58679,"58679, 4"
277477,"7421-277477, 2"
476739,"476739, 2"
113357,"113357, 0"
402342,"402342, 3"
296482,"296482, 3"
367786,"367786, 2"
284256,"284256, 0"
367815,"367815, 4"
131955,"2235-131955, 4"
21589,"21589, 3"
325318,"325318, 1"
291855,"14234-291855, 1"
445537,"445537, 4"
142908,"142908, 2"
438072,"249892-438072, 1"
362142,"362142, 3"
234387,"234387, 2"
124347,"124347, 3"
68304,"68304, 3"
22378,"22378, 3"
168428,"11367-139336-168428, 3"
90410,"117092-90410, 0"
195976,"12363-263845-195976, 2"
370890,"136926-370890, 3"
259177,"259177, 2"
445940,"374026-258996-438077-445940, 3"
451709,"238784-451709, 1"
405451,"140177-290078-405451, 4"
159048,"159048, 1"
66904,"66904, 0"
104917,"12120-95506-104917, 4"
39830,"39830, 4"
433840,"433840, 0"
450862,"52124-450862, 0"
462493,"166473-360529-373523-462493, 2"
134972,"134972, 4"
287415,"227845-287415, 2"
110362,"110362, 2"
278615,"278615, 0"
458739,"458739, 3"
9804,"9804, 0"
110314,"110314, 2"
336626,"336626, 3"
415703,"415703, 1"
24515,"24515, 2"
265798,"64198-265798, 3"
38284,"38284, 3"
31374,"31374, 2"
288975,"181309-288975, 1"
160154,"411076-160154, 3"
454978,"454978, 1"
44957,"44957, 4"
25381,"25381, 1"
3521,"3521, 3"
181995,"181995, 3"
198124,"198124, 0"
59733,"59733, 3"
2227,"2227, 1"
204455,"190030-204455, 0"
6289,"6289, 2"
56285,"296397-56285, 1"
372319,"159126-372319, 3"
245299,"245299, 1"
94083,"94083, 4"
139602,"139602, 4"
266577,"266577, 2"
77064,"77064, 0"
397156,"338541-397156, 1"
428130,"66911-187419-428130, 1"
174465,"174465, 3"
296107,"296107, 0"
459178,"459178, 4"
340619,"340619, 3"
338079,"338079, 0"
276776,"92730-276776, 2"
217519,"99355-217519, 3"
24495,"18524-24495, 4"
142782,"142782, 2"
371888,"143757-170280-64062-371888, 3"
303838,"303838, 0"
321667,"321667, 2"
207200,"207200, 1"
189539,"189539, 1"
482005,"482005, 2"
322974,"322974, 3"
408442,"408442, 4"
259114,"115387-259114, 2"
469501,"380278-469501, 0"
465959,"21071-62438-465959, 4"
403064,"5237-403064, 2"
141674,"141674, 2"
110025,"110025, 1"
206367,"206367, 2"
434935,"142224-434935, 3"
222304,"222304, 1"
489117,"489117, 1"
362005,"182343-362005, 4"
430062,"430062, 4"
96687,"96687, 2"
494031,"235551-494031, 3"
309742,"309742, 4"
415634,"6333-415634, 2"
419175,"167766-375472-419175, 0"
19885,"449292-19885, 2"
254435,"213671-241241-254435, 3"
433819,"433819, 0"
99023,"99023, 2"
276900,"231654-276900, 1"
452600,"259014-87439-452600, 1"
86523,"86523, 4"
439273,"407368-424743-439273, 0"
415408,"415408, 4"
450432,"351923-450432, 3"
31330,"31330, 2"
435217,"435217, 1"
359466,"66283-359466, 1"
431417,"431417, 4"
73828,"73828, 4"
341786,"58581-60856-277023-341786, 2"
42029,"42029, 4"
19353,"19353, 4"
314812,"314812, 0"
148140,"138636-148140, 3"
150794,"246768-36277-150794, 3"
473995,"260859-473995, 0"
108249,"79881-108249, 4"
265684,"265684, 4"
478858,"255204-478858, 3"
354589,"354589, 3"
499375,"499375, 0"
238141,"161003-238141, 0"
401672,"401672, 4"
185425,"30035-185425, 0"
124055,"124055, 1"
457438,"210228-457438, 4"
397743,"397743, 0"
32095,"32095, 4"
113312,"113312, 4"
319628,"35180-239272-319628, 0"
235434,"235434, 4"
351239,"351239, 2"
420711,"420711, 1"
365850,"365850, 1"
315572,"108142-315572, 1"
491570,"221262-491570, 0"
264683,"264683, 3"
187554,"187554, 1"
45221,"24834-45221, 0"
163224,"163224, 1"
92382,"92382, 3"
412230,"412230, 1"
320532,"320532, 1"
7918,"7918, 2"
394239,"29325-253864-394239, 1"
139764,"139764, 4"
378326,"143406-378326, 2"
113667,"113667, 2"
114011,"114011, 3"
378733,"378733, 1"
55981,"55981, 1"
100754,"100754, 1"
399711,"399711, 2"
483373,"483373, 4"
405864,"197987-405864, 2"
128633,"38154-118207-128633, 4"
352800,"227058-352800, 3"
87077,"87077, 4"
483147,"44344-94742-322229-483147, 1"
363169,"14441-363169, 3"
430921,"316573-114224-430921, 2"
115575,"115575, 3"
20631,"20631, 3"
272584,"272584, 1"
318456,"18580-318456, 3"
351563,"351563, 4"
179945,"179945, 4"
245754,"245754, 1"
34572,"174248-34572, 4"
463194,"463194, 1"
2042,"2042, 4"
66364,"66364, 4"
309364,"309364, 3"
193890,"193890, 2"
459758,"3388-459758, 0"
374833,"374833, 2"
185160,"9539-185160, 3"
220662,"220662, 3"
392007,"1728-27274-392007, 2"
311033,"311033, 0"
103846,"103846, 4"
135374,"135374, 4"
480630,"356698-480630, 3"
479133,"332089-479133, 3"
406259,"312108-406259, 2"
441330,"29809-441330, 3"
133048,"11223-133048, 4"
201628,"201628, 2"
461215,"461215, 3"
354152,"65817-89416-354152, 4"
71862,"71862, 2"
360012,"289913-360012, 4"
255057,"255057, 0"
405846,"155800-114915-131725-405846, 2"
362133,"47510-362133, 3"
248054,"79336-248054, 2"
410234,"410234, 2"
427979,"343329-427979, 3"
370705,"370705, 0"
29960,"29960, 4"
180289,"180289, 1"
16805,"16805, 1"
359402,"359402, 3"
362700,"158404-362700, 3"
225532,"225532, 0"
354851,"354851, 1"
78774,"200067-30166-78774, 4"
472437,"156978-408201-472437, 3"
425841,"237197-345939-425841, 3"
180809,"180809, 4"
337163,"337163, 2"
434468,"35005-434468, 1"
246769,"246769, 2"
428770,"326634-421790-428770, 0"
66262,"25685-66262, 4"
108675,"75906-108675, 2"
418284,"418284, 3"
212017,"20774-212017, 3"
274180,"274180, 0"
326536,"326536, 4"
115404,"3125-115404, 2"
458273,"361474-458273, 4"
396877,"55990-396877, 4"
387759,"301861-387759, 2"
138598,"138598, 3"
255196,"95375-130135-255196, 2"
329838,"329838, 1"
498528,"498528, 4"
198589,"198589, 0"
272423,"65794-272423, 4"
291542,"291542, 1"
374043,"113047-374043, 3"
350031,"350031, 2"
21941,"21941, 0"
102242,"102242, 3"
493610,"493610, 2"
477143,"477143, 0"
485708,"199664-485708, 1"
86676,"86676, 1"
237047,"237047, 3"
498862,"30581-144786-498862, 3"
248719,"248719, 4"
201457,"201457, 0"
162539,"162539, 4"
366104,"366104, 4"
186632,"186632, 2"
87465,"87465, 4"
171022,"171022, 1"
377790,"377790, 3"
75329,"75329, 2"
219450,"94330-219450, 4"
195482,"195482, 1"
47902,"47902, 1"
73840,"73840, 4"
99721,"56918-99721, 0"
159739,"159739, 2"
37811,"37811, 3"
70275,"70275, 1"
95105,"67860-95105, 3"
446220,"307242-431772-446220, 4"
27274,"392007-27274, 0"
342762,"342762, 2"
475022,"103897-161790-475022, 3"
365857,"365857, 2"
246554,"246554, 2"
192837,"8612-192837, 1"
259608,"259608, 1"
88950,"88950, 3"
57294,"57294, 2"
44273,"53515-38258-44273, 1"
342220,"7218-265657-342220, 4"
410435,"410435, 1"
470097,"140139-279828-401923-470097, 3"
306668,"306668, 4"
130826,"82162-130826, 0"
151699,"151699, 3"
432201,"407798-432201, 1"
457169,"457169, 2"
282537,"282537, 1"
66157,"66157, 3"
371001,"371001, 3"
221281,"221281, 2"
463374,"4281-463374, 3"
32493,"32493, 1"
29622,"24635-29622, 1"
420363,"420363, 3"
295168,"54227-295168, 0"
492744,"126312-492744, 3"
137355,"137355, 2"
428750,"428750, 1"
83960,"83960, 0"
116068,"116068, 4"
286005,"286005, 2"
367013,"148341-367013, 4"
20121,"20121, 4"
10260,"10260, 4"
3411,"3411, 4"
191605,"191605, 3"
52872,"52872, 4"
5214,"5214, 2"
344680,"105023-344680, 3"
359602,"359602, 3"
433261,"433261, 0"
325480,"325480, 4"
12378,"12378, 4"
278821,"278821, 2"
219913,"219913, 0"
479311,"479311, 4"
460981,"460981, 2"
313109,"313109, 3"
127201,"127201, 1"
214851,"214851, 1"
272026,"272026, 2"
477284,"2119-362037-477284, 2"
399360,"87975-94345-170153-399360, 0"
131791,"131791, 0"
125863,"125863, 1"
199980,"199980, 4"
155392,"155392, 4"
128749,"128749, 1"
389551,"15275-389551, 0"
191129,"268352-452786-191129, 3"
460417,"460417, 1"
402912,"402912, 4"
98802,"98802, 3"
457146,"105155-324022-450129-457146, 0"
470761,"470761, 0"
174309,"174309, 1"
102292,"102292, 2"
99330,"99330, 3"
486539,"154966-226072-486539, 4"
445817,"445817, 0"
335179,"9400-335179, 4"
475804,"436707-475804, 3"
245143,"245143, 4"
48901,"395228-22644-48901, 0"
408051,"408051, 0"
12107,"12107, 0"
86015,"86015, 3"
288179,"288179, 2"
391287,"236527-391287, 4"
16052,"55359-16052, 0"
104018,"104018, 1"
388666,"388666, 2"
8740,"8740, 4"
438381,"438381, 3"
371365,"371365, 3"
310084,"303910-310084, 4"
72033,"72033, 1"
307823,"174064-426141-181084-307823, 2"
193853,"193853, 0"
298378,"298378, 2"
89444,"89444, 2"
470394,"307368-470394, 2"
428957,"428957, 3"
13912,"314678-13912, 2"
164164,"164164, 0"
438549,"438549, 4"
430918,"430918, 4"
499677,"499677, 1"
302942,"35089-302942, 0"
258760,"258760, 0"
195023,"195023, 1"
126299,"126299, 1"
386169,"101170-209055-386169, 1"
356872,"356872, 0"
467844,"467844, 3"
283815,"283815, 0"
30332,"4397-30332, 2"
322253,"177590-322253, 1"
326593,"186986-326593, 1"
447333,"140059-399817-447333, 3"
385591,"385591, 3"
276698,"4932-187139-276698, 0"
3396,"3396, 2"
149792,"149792, 0"
109265,"82934-109265, 2"
451100,"451100, 1"
474012,"474012, 1"
393850,"254660-393850, 4"
332490,"134831-332490, 3"
107545,"107545, 3"
485483,"485483, 1"
91578,"91578, 0"
103607,"103607, 4"
356356,"292697-356356, 3"
452998,"452998, 4"
4858,"4858, 3"
347764,"309844-336804-347764, 3"
181735,"177834-181735, 1"
89072,"89072, 0"
335391,"335391, 4"
449292,"19885-449292, 1"
471127,"51549-232610-471127, 1"
173421,"173421, 2"
53766,"53766, 2"
38676,"38676, 1"
72841,"72841, 3"
257305,"257305, 2"
259847,"313536-259847, 0"
157296,"157296, 0"
293057,"293057, 3"
103530,"103530, 4"
236059,"236059, 0"
269179,"269179, 0"
48060,"48060, 0"
236175,"236175, 0"
350421,"115015-350421, 4"
450371,"344134-450371, 4"
26626,"26626, 1"
350282,"350282, 0"
446967,"446967, 2"
408086,"408086, 4"
173463,"173463, 1"
153229,"153229, 2"
351533,"6472-244142-351533, 1"
372278,"372278, 4"
364978,"292637-364978, 0"
88593,"88593, 0"
466447,"466447, 2"
256633,"256633, 3"
178365,"3357-178365, 3"
190899,"190899, 1"
110938,"52605-110938, 4"
152764,"53529-152764, 3"
332453,"332453, 1"
434505,"434505, 3"
4434,"4434, 3"
268724,"268724, 1"
310163,"260136-310163, 3"
339993,"339993, 4"
90329,"90329, 3"
214106,"214106, 0"
226823,"226823, 2"
475282,"475282, 2"
461523,"461523, 2"
415965,"415965, 4"
148289,"148289, 0"
498473,"59885-361732-432290-498473, 0"
367905,"367905, 1"
53151,"53151, 3"
284660,"196769-284660, 1"
216668,"216668, 1"
289123,"289123, 2"
277476,"150933-277476, 4"
486376,"486376, 1"
338243,"283471-338243, 0"
419609,"419609, 4"
485159,"485159, 4"
295156,"295156, 4"
362037,"477284-362037, 1"
272609,"272609, 4"
223256,"223256, 1"
456119,"159724-456119, 1"
276432,"177887-248562-276432, 1"
14956,"14956, 0"
258511,"258511, 1"
369379,"369379, 0"
169590,"169590, 4"
279450,"279450, 2"
355239,"172426-355239, 1"
29671,"29671, 2"
8920,"8920, 3"
486524,"139217-275729-486524, 2"
251416,"251416, 2"
75926,"75926, 4"
368833,"368833, 4"
84545,"84545, 3"
165117,"33321-165117, 0"
432599,"432599, 1"
104050,"104050, 2"
328867,"2292-328867, 2"
419622,"419622, 0"
315428,"315428, 3"
156041,"156041, 1"
477251,"477251, 3"
39409,"39409, 2"
4086,"4086, 2"
21826,"21826, 1"
425797,"359246-425797, 4"
354791,"354791, 4"
156535,"156535, 2"
65586,"65586, 4"
131868,"162982-131868, 1"
152646,"152646, 1"
370776,"370776, 2"
336558,"336558, 3"
319781,"68502-319781, 0"
357645,"314840-327503-357645, 2"
38922,"38922, 0"
298359,"298359, 2"
263446,"263446, 0"
205529,"128293-205529, 4"
384021,"384021, 4"
357059,"233420-263399-350469-357059, 1"
39008,"39008, 0"
